,business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
3563,pLBF8QrRkMicJcsjAqW7ag,"""Walnut Street Tea""",,"""115 S Walnut St""",Champaign,IL,61820,40.1154721496,-88.2432021594,4.5,24,1,Food;Coffee & Tea;Specialty Food;Herbs & Spices
3897,hDhC_DgEIKK5D961doKOXQ,"""Durst Cycle & Fitness""",,"""1112 W University Ave""",Urbana,IL,61801,40.1166867,-88.2237355,2.0,30,1,Wedding Planning;Event Planning & Services;Skating Rinks;Sporting Goods;Shopping;Bikes;Fitness/Exercise Equipment;Active Life
3898,sOPBbhDCi7bJlW7dNBuITg,"""A Plus VIP Lounge""",,"""214 W Main St""",Urbana,IL,61801,40.112708,-88.209562,3.5,16,1,Restaurants;Venues & Event Spaces;Cafes;Lounges;Nightlife;Pool Halls;Event Planning & Services;Pool & Billiards;Dance Clubs;Bars;Shopping;Karaoke
3899,yw3dfUD1PO8EdGLHdbGevA,"""Espresso Royale""",,"""1402 W Gregory Dr""",Urbana,IL,61801,40.1047959,-88.2272315,2.0,8,1,Coffee & Tea;Food;Bagels
3937,RQKrr8j4jS_7ubGMfAwnIQ,"""Garcia's Pizza In A Pan""",,"""108 E Green St""",Champaign,IL,61820,40.110515,-88.237634,3.5,3,0,Pizza;Restaurants
4227,yh-JA5fV2QkGaBUjfvioIQ,"""Fannie May Fine Chocolates""",,"""402 South Neil Street""",Champaign,IL,61820,40.112354,-88.24319,4.0,7,1,Specialty Food;Food;Candy Stores;Chocolatiers & Shops
4279,dA9xisX951rOnx8IGLPfjw,"""Fat City Bar and Grill""",,"""505 S Chestnut St""",Champaign,IL,61820,40.110967,-88.242733,4.5,7,1,Food;Nightlife;Bars;Beer;Wine & Spirits;Sports Bars
4761,svrBwmUp6w-mbWPKeiXX0A,"""Lex-Lincolnland Express""",,"""310 Tiffany Ct""",Champaign,IL,61822,40.114308,-88.31738,1.5,10,1,Hotels & Travel;Transportation;Airport Shuttles
4828,vclVFNXvp4bY9CrYTM6RxQ,"""Red Barn Veterinary Service""",,"""854 Cr 2100 E""",Sidney,IL,61877,40.0050593259,-88.0657249689,3.5,3,1,Pets;Veterinarians
4853,nA_S_Rbr-UCbd60anMKYdA,"""Proud Marys'""",,"""1003 E Southline Rd""",Tuscola,IL,61953,39.7912416,-88.2730072,4.5,3,1,Bars;Restaurants;Nightlife;American (Traditional)
4945,WBWCPVFkcpdEqc0elEWzhw,"""Goldys""",,"""301 S Mattis Ave""",Champaign,IL,61821,40.114764,-88.2786519,3.0,3,1,Bars;Nightlife
5024,26zwwlKhzdjjaev4YrNHrg,"""Yong's Alterations""",,"""1502 S Neil St""",Champaign,IL,61820,40.098227,-88.2445511,3.0,8,1,Local Services;Sewing & Alterations
5423,Rd5H5-3KbF0IwXSmHzHLdw,"""Derailed 57 Bar""",,"""57 E Main St""",Champaign,IL,61820,40.117699,-88.24061,4.0,9,1,Sports Bars;Bars;Nightlife
5708,8dm_0dGmLK0sv9AdBASXbA,"""Lisa's Custom Sound Shop""",,"""310 Tiffany Ct, Ste-E""",Champaign,IL,61822,40.114308,-88.31738,5.0,3,1,Automotive;Car Stereo Installation
5709,Lm-3-VnMbCYjB8d1hRIM8w,"""Advantage Hobby""",,"""2708 N Mattis Ave""",Champaign,IL,61822,40.146904,-88.275847,2.0,4,1,Na
5752,dn9lwYUxmhs_mLKPu7L25Q,"""Big Grove Tavern""",,"""1 E Main St, Ste 101""",Champaign,IL,61820,40.1183809,-88.2429963,3.5,286,1,Bars;Breakfast & Brunch;Restaurants;Pubs;Gastropubs;Cocktail Bars;American (New);Nightlife
5848,BhfQ8Rh4L-ca_so-3QjWoA,"""Animal Emergency Clinic of Champaign County""",,"""1713 S State St, Ste 4""",Champaign,IL,61820,40.0946325,-88.2470481,3.0,10,1,Pet Services;Veterinarians;Pets;Emergency Pet Hospital
5890,XvCaVBLDqiEj8YsjpPUu8w,"""Carle Foundation Hospital Level 1 Trauma Center""",,"""611 W Park St""",Urbana,IL,61801,40.1167446,-88.2144857,3.5,9,1,Health & Medical;Hospitals
5991,UvnrAb2q9YDlFwTbqvzk5w,"""Enterprise Rent-A-Car""",,"""1212 N Prospect Ave""",Champaign,IL,61820,40.128311,-88.2578,3.0,21,1,Car Rental;Hotels & Travel
5992,oTcLd1GfGBmkMZMkuULxew,"""Dj's Automotive Service and Repair""",,"""2104 S Neil St""",Champaign,IL,61820,40.088754,-88.245759,3.5,3,1,Automotive;Auto Repair
6015,kkSkD925InBRs7ZAOIiIRQ,"""Vibez Performance Car Audio""",,"""904 Francis Dr""",Champaign,IL,61821,40.130959,-88.2583689,3.5,3,1,Automotive;Car Stereo Installation
6352,a1sp-PiwbAthYG1JR8NfLg,"""Silver Mine Subs""",,"""612 E Daniel St""",Champaign,IL,61820,40.108174,-88.229693,3.5,18,0,Restaurants;Sandwiches
6366,BaM7YlRv7Mchd3Yb58Tbpw,"""BodyN'Sole""",,"""1317 Dunlap Ave""",Savoy,IL,61874,40.0699682412,-88.2496367528,4.5,18,1,Shoe Stores;Shopping;Fashion
6386,dNch89PUCbxvhieKmWi8LQ,"""Cocomero""",,"""709 S Wright St""",Champaign,IL,61820,40.109995,-88.22911,4.0,123,1,Ice Cream & Frozen Yogurt;Bubble Tea;Food;Desserts
6558,FDtc1zp7EIABDjrw6GtfIw,"""La Chic Nails""",,"""1820 Glenn Park Dr""",Champaign,IL,61821,40.1196733,-88.2770823,5.0,5,1,Nail Salons;Beauty & Spas
6825,KGpsB2dsdkxl8SGVUlJbZw,"""Outback Steakhouse""",,"""2402 N Prospect Ave""",Champaign,IL,61822,40.144995,-88.257184,3.0,47,1,Restaurants;Steakhouses
6849,xJyzXnVaF21q4CHa0gVhvA,"""Ron's Truck & Auto Repair""",,"""1707 N Cunningham Ave""",Urbana,IL,61802,40.129102,-88.199065,4.0,4,1,Tires;Auto Parts & Supplies;Automotive;Auto Repair
6955,u0w-M0AH1nA5hzCwBmyqgQ,"""Great Value Storage""",,"""1710 N Cunningham""",Urbana,IL,61802,40.128621,-88.1970429,2.5,3,1,Local Services;Self Storage
7024,xYW9qSsgsfyzJOYoj1exKg,"""Pizza King & Video""",,"""103 N Main St""",Saint Joseph,IL,61873,40.1116198,-88.0419274,3.0,6,0,Videos & Video Game Rental;Books;Mags;Music & Video;Shopping;Restaurants;Pizza
7125,8ziRUCsWuXA6iyGXWqTG7g,"""CU Woodshop Supply""",,"""1401 Parkland Ct""",Champaign,IL,61821,40.1289477,-88.2803959,5.0,3,1,Hobby Shops;Hardware Stores;Home & Garden;Shopping
7312,58UN6IFW7qRzCrDTfeV1yg,"""County Market""",,"""1201 E Grove Ave""",Rantoul,IL,61866,40.312897,-88.139857,1.5,3,1,Food;Grocery
7359,5bBzfDFZ2gU3tqS0oC-2kg,"""Flooring Surfaces""",,"""401 Mercury Dr""",Champaign,IL,61822,40.149057,-88.233394,3.5,7,1,Home Services;Flooring;Carpeting
7397,9zGkU1ahmYCn3DlnKOXhqA,"""Arby's""",,"""1502 N Prospect Ave""",Champaign,IL,61820,40.13114,-88.2575618,4.5,3,1,Fast Food;Sandwiches;Restaurants
7417,AVAbiZZSbV8DB61D3AKTUw,"""Rick's Tractor Services""",,"""407 S Market St""",Ogden,IL,61859,40.1104498019,-87.9593200807,3.5,3,1,Landscaping;Masonry/Concrete;Home Services
7599,QrU-y8wN7e-jnePTywt1Zw,"""Sprint Store By Wireless Revolution""",,"""2706 N Prospect Ave""",Champaign,IL,61822,40.1482946,-88.2572487,1.5,7,1,Shopping;Mobile Phones
7616,gFZrma9SheSYg5MKCYvGIg,"""Holly Birch Photography""",,"""""",Mahomet,IL,61853,40.1953106,-88.4042234,5.0,3,1,Photographers;Session Photography;Event Photography;Event Planning & Services
7775,o9nGD3J0btXjE9M6IdgZTA,"""McAlister's Deli""",,"""421 Town Center Rd""",Champaign,IL,61820,40.14166846,-88.2503601437,3.0,45,1,Food;Delis;Restaurants;Sandwiches;Salad
7810,Cikls1ZzfgjCI0J4RKrQeA,"""Thornton's""",,"""101 Burwash Ave""",Savoy,IL,61874,40.073824,-88.249161,4.0,4,1,Automotive;Gas Stations
7917,R7X6MGkwU6BfUTzglBiyRQ,"""Monical's Pizza""",,"""114 S Lombard St""",Mahomet,IL,61853,40.192108,-88.400262,3.0,9,1,Italian;Pizza;Restaurants
7989,pH72Y8aqqJlq3bgtj-d3UA,"""The Great Impasta""",,"""156 C Lincoln Square""",Urbana,IL,61801,40.1112419,-88.2072116,3.0,28,0,Restaurants;Italian
7997,gnGM09Wb9iOIkqqSk522NA,"""Baymont Inn And Suites Champaign""",,"""302 West Anthony Drive""",Champaign,IL,61822,40.1357314,-88.2479637,2.5,12,1,Event Planning & Services;Hotels & Travel;Hotels
8112,Yp2iXcCJeuSgRjLDEwGJWw,"""Sailfin Pet Shop""",,"""720 S Neil St""",Champaign,IL,61820,40.1075195419,-88.2432775004,4.0,22,1,Pet Stores;Aquariums;Pet Services;Active Life;Pets
8294,A4AvcazbJywctQtVMhdlNw,"""Wetzel Roger T DDS""",,"""1421 Pine Ave""",Rantoul,IL,61866,40.315314,-88.135538,5.0,4,1,Health & Medical;Dentists;Oral Surgeons
8339,6Ujvqa50oe8fgT5iDEx42Q,"""Menards""",,"""620 W Town Center Blvd""",Champaign,IL,61822,40.144694,-88.253143,3.5,19,1,Home & Garden;Shopping;Hardware Stores
8340,fUmYKh3nIuCywJrxvWGSxQ,"""Klismith Tree Service""",,"""901 W Ford Harris Rd""",Champaign,IL,61822,40.167409,-88.260557,5.0,3,1,Professional Services;Home Services;Tree Services
8346,RhktUZzsRLDdf17gY9W1Cg,"""World Nail Spa""",,"""1813 Kirby Ave, Ste A""",Champaign,IL,61821,40.0975285,-88.2773026,3.5,8,1,Nail Salons;Beauty & Spas
8427,kBgpdaS9joBXioj89zo1QA,"""El Toro""",,"""1104 N Cunningham Ave""",Urbana,IL,61802,40.123643,-88.200627,3.5,15,0,Restaurants;Mexican
8530,QCGrf-ym-xnoMPeG399p3Q,"""Central Illinois Credit Union""",,"""2106 W John St""",Champaign,IL,61821,40.1096302,-88.2821271,5.0,3,1,Banks & Credit Unions;Financial Services
8553,F1qPjasn0R6-j8sa6iYNmA,"""Guido's Bar & Grill""",,"""2 E Main St""",Champaign,IL,61820,40.1178627014,-88.2433013916,3.0,102,1,Bars;Nightlife;American (Traditional);Restaurants
8561,CfGeAkLKLoKvzSZJxoaicQ,"""Tri-Color Locksmiths""",,"""1002 W University Ave""",Urbana,IL,61801,40.1166834,-88.220908,3.5,15,1,Security Systems;Home & Garden;Home Services;Hardware Stores;Building Supplies;Shopping;Keys & Locksmiths
8602,OqcO3MOvAxyNzf-PnmiZzg,"""217 & Smith's Towing""",,"""2708 N Neil St""",Champaign,IL,61826,40.1490977,-88.2485668,3.0,5,1,Automotive;Towing
8897,bvZHCeHIOMMzIIANFl2zEA,"""C & C Kitchen""",,"""107 E Sangamon Ave""",Rantoul,IL,61866,40.3106540911,-88.1585830406,4.5,33,1,Coffee & Tea;Food;Restaurants;Sandwiches;Breakfast & Brunch;Cafes;Delis
9012,cn999G2xZNMj8ZYDot0C8w,"""Armored Gopher Games""",,"""1508 N Cunningham Ave, Ste A""",Urbana,IL,61801,40.1266517,-88.1979037,4.5,6,0,Shopping;Hobby Shops
9144,Lwb6bG1Qu3BbW7FJj5suLw,"""Champaign-Urbana Adventures in Time & Space""",,"""123 W Main St, Ste 104""",Urbana,IL,61801,40.1121494,-88.2082725,5.0,36,1,Arts & Entertainment;Nightlife;Active Life;Escape Games
9188,_p-d4eRivLbNV0zuVAnlSQ,"""West Main Dental""",,"""125 W Main St""",Urbana,IL,61801,40.112307907,-88.2083688676,4.5,7,1,Pediatric Dentists;Dentists;General Dentistry;Cosmetic Dentists;Health & Medical
9210,1qQ5VkxiBUjbGGdpBN-PUQ,"""Spicy Tang""",,"""607 S 6th St""",Champaign,IL,61820,40.1107483422,-88.2306316328,2.5,17,1,Asian Fusion;Restaurants
9349,IWFiKOfltNWN2hsKqIZK0w,"""The Neighbors At The Ice House""",,"""703 N Prospect Ave""",Champaign,IL,61821,40.122513,-88.258227,5.0,9,1,Nightlife;Bars
9417,RYClIlSwSPpaptR8tOF0AQ,"""Lacy's""",,"""119 W Main St""",Urbana,IL,61801,40.1123076506,-88.2083105296,3.0,27,0,Barbeque;Restaurants
9480,BfUoFcIzmQJMe4jBLIYN4Q,"""Illini Home Improvements""",,"""""",Urbana,IL,61802,40.1105875,-88.2072697,3.5,3,1,Shopping;Local Services;Home & Garden;Home Services;Hardware Stores;Shades & Blinds;Insulation Installation;Awnings;Door Sales/Installation;Contractors;Windows Installation;Building Supplies
9493,hP2DOm7E2H4P7MOS7XN_SQ,"""Hamilton Walker's""",,"""201 N Neil St""",Champaign,IL,61820,40.117491,-88.243875,3.0,106,1,Bars;Restaurants;Nightlife;Food;Seafood;Steakhouses;Beer;Wine & Spirits
9505,eNeBda4br3HMg15-_jwokA,"""El Toro""",,"""221 E Lincoln St""",Saint Joseph,IL,61873,40.1112277,-88.0414944,3.5,16,1,Restaurants;Mexican
9688,SViPlfsmwqvWNxZuVOgOMQ,"""Subway""",,"""616 E Green St""",Champaign,IL,61820,40.1106295,-88.2296312,2.5,10,1,Restaurants;Sandwiches;Fast Food
9722,FZ6nk9Fg27KMgt7oiB0DGA,"""Pies by Inge""",,"""212 W Washington St""",Monticello,IL,61856,40.025702,-88.573161,5.0,4,1,Desserts;Cupcakes;Restaurants;Bakeries;Food
9763,tKcagQ6JNkMtayvBVHwY9w,"""Japan House""",,"""2000 S Lincoln Ave""",Urbana,IL,61801,40.0927651,-88.2178875,4.5,6,1,Art Schools;Arts & Entertainment;Education;Specialty Schools;Educational Services;Botanical Gardens
9908,FOSsY1OO0hTxro91Z0GOHQ,"""1 Man 2 Hands""",,"""1109 N Goodwin Ave""",Urbana,IL,61801,40.122974,-88.224435,4.5,7,1,Handyman;Couriers & Delivery Services;Local Services;Movers;Home Cleaning;Professional Services;Home Organization;Home Services
9941,iBRwl7sirmvg22AYnMPONQ,"""Miko""",,"""407 W University Ave""",Urbana,IL,61801,40.116124,-88.21181,2.5,22,0,Restaurants;Korean;Sushi Bars;Vietnamese;Japanese
10123,7U7KkQyUIxUCcfCso4HP1g,"""Pizza Hut""",,"""1110 Tuscola Blvd""",Tuscola,IL,61953,39.7910761,-88.267399,4.5,5,1,Italian;Pizza;Restaurants;Chicken Wings
10159,J5U-nbhKSnnX7DJGT6QELg,"""The Apple Dumplin'""",,"""2014 High Cross Rd""",Urbana,IL,61802,40.1336703544,-88.1625332782,3.5,30,1,American (Traditional);Restaurants
10174,eNZszXSug_HjImz0yQrbdA,"""Christie Clinic Illinois Marathon""",,"""""",Champaign,IL,61824,40.1211828,-88.2434596,4.5,10,1,Races & Competitions;Active Life
